text (S),location (S),phase (S),sentiment (S)
really think works people food eat capable buying necessary precautions people really care social distancing seen called social distancing bus stops liquors shops others places govt open,delhi,1,MIXED
reliancegroup reliancefreshin reliancesmart near ayyapanagar k r puram recently store started online delivery amp precautions taken staff busy packing veggies amongst regular customers without social distancing stopreliancesmart,bangalore,1,NEUTRAL
remembering scene epic movie 3 idiots rancho produces suicide stats india front virus https youtu zeguqtgvmmm speak dont victim suicideawareness suicide solution depression ripsushantsinghrajput3 idiots rancho suicide virus suicideawareness suicide solution depression ripsushantsinghrajput,bangalore,1,NEGATIVE
research article explains middle layer sergical mask soaked table salt solution effectively traps kills influenza virus please look icmrdelhi mohfw india whoemro ayushmannha coronaviruscoronavirus,mumbai,1,NEUTRAL
rrpspeaks dev fadnavis meneeleshnrane maha sugar mill chairman booked assaulting social worker,mumbai,1,NEGATIVE
safety prevention important pray overcome disease stay safe wear mask gloves use alcohol based sanitizer coronavirus covidー19 covid19india coronavirusesp coronauk coronaalert coronaoutbreakcoronavirus covid covid19india coronavirusesp coronauk coronaalert coronaoutbreak,mumbai,0,NEUTRAL
sathish n 28 7 20 poonamallee chennai guava tree done today house backyard garden mail id cjsathishnatarajan gmail com ph 9444644652 மரம் வளர்ப்போம் மழை பெறுவோம் seedling seedling bro ipa weight loss kaga vitlayae exercise laa panran soo ithu kadachaa use fulaa irukum,chennai,2,NEUTRAL
seems agressive bdutt know situation hospitals terms facilities ambulance seems equipped basic things brings us moot point many times star journalist like done depth reporting health 1 2,kolkata,1,NEUTRAL
since mid march lockdown day night weekend look weekend lockdown night curfew wont serve purpose corona travel weekends night open economy live corona test treat us pmoindia cmomaharashtra suchetadalal mohfw india,mumbai,2,NEUTRAL
sir nations world accusing china corona virus order shut mouth china encroach upon border feel,chennai,1,NEGATIVE
sirji plz unlock soon without income life like virus killing settle life saving happiness depression,mumbai,2,MIXED
snaveen98899655 good news coming hyderabad vaccine corona developed hyderabad based bharatbiotech granted permission human clinical trials covid19 hope works get rid coronavirus raising handscorona hyderabad covid19 coronavirus,hyderabad,1,NEUTRAL
successful testing animals mohfw india approves clinical human trails indias first covid19 vaccine covaxin vaccine co developed bharatbiotech amp icmr niv news18tamilnadu cnnnews18covid19 covaxin,chennai,1,NEUTRAL
successful zone attending sippy hospital regularly working normal hospital free ka treatment shirts dress sobo anymore kahaanhumkahaantumkahaanhumkahaantum,kolkata,0,NEUTRAL
sure mahatma would particularly proud edited videos kind hide mask wearing students pelt stones cops amp enter library amp pretend open amp read books cops come,kolkata,0,NEUTRAL
surprise decision unlock3guidelines except permission gym opening gyms could vulnerable risky asymptomatic person activity equipments night owls got freedom relaxation night curfew hyderabad unlock3unlock3guidelines hyderabad unlock3,hyderabad,2,NEUTRAL
sushant singh rajput shocked disappointed great loss indian film industry,kolkata,1,NEGATIVE
telangana hyderabad 237 corona cases 3 deaths start hitting hope kcr ktr gets serious trsgovtfailed coronaupdate pronamosevatrsgovtfailed coronaupdate,hyderabad,1,NEGATIVE
thankyou mha allowing stranded student labours pilgrims amp tourists return back home lockdown covid19mha lockdown covid19,kolkata,1,NEUTRAL
tiktok banned india people come steet entertainment lockdown period face tears joy tiktok tiktokindia entertainment mondaymotivation lockdownextension mondaythoughts coronavirus covid chineseproductsindustbin chineseappstiktok tiktokindia entertainment mondaymotivation lockdownextension mondaythoughts coronavirus covid chineseproductsindustbin chineseapps,chennai,1,NEUTRAL
times hard lot us easy let situation engulf pool panic anxiety believe lockdown go far confine us physically full story http bit ly 2dcj3v8 covid19 lockdown filmmaking humansofmadrascovid19 lockdown filmmaking humansofmadras,chennai,2,MIXED
tn always went jobs understand importance first gen graduate family impossible make anyone http else understand frowning face selector,chennai,1,NEGATIVE
unless gets corona virus,mumbai,0,NEUTRAL
virus imported nri foreign tourists today nation suffering,kolkata,0,NEGATIVE
virus spreading wings world,chennai,0,NEUTRAL
wish turn back time undo things petty state affairs stopped ssr take legal action rhea beginning family nation loss severe onessr rhea,bangalore,2,NEGATIVE
worldwide fight covid 19 coronaviruspandemic lockdown coronaoutbreak coronavirus selfisolating namastecorona fridaythe13th indiafightsbackcoronavirus coronavirusindia caronavirusupdateworldwide covid 19 coronaviruspandemic lockdown coronaoutbreak coronavirus selfisolating namastecorona fridaythe13th indiafightsbackcoronavirus coronavirusindia caronavirusupdate,hyderabad,0,NEUTRAL
would treated curfew though riots open essential 2 hrs etc missed point aim keep people home give want would opened shops 24 7 e commerce except large appliances etc,mumbai,1,NEGATIVE
wtf wrong americans buying spree guns australians toilet papers kill virus guns godblessthem coronavirususa coronavirus coronavirusupdate australia chinesevirus19 lockdown realdonaldtrumpgodblessthem coronavirususa coronavirus coronavirusupdate australia chinesevirus19 lockdown,bangalore,1,NEGATIVE
yes one best treatment,kolkata,2,POSITIVE
yey ye hindu moslem sikh punjabis art iranian migrants ere asoka punj aab isa persian phrase whats asoka considered iranian emperor ye persians iranians art aryans branchedout indo iranian exchanges dateback pre islamic era ah parse influence apart,hyderabad,2,NEUTRAL
’ believe everything hear always three sides story truth lets embrace truth folded hands good morning great week ahead four leaf clover hot beverage mondayvibes mondaythoughts mondaymotivaton monday goodmorning goodmorningtwitterworld covid19truth mondayvibes mondaythoughts mondaymotivaton monday goodmorning goodmorningtwitterworld covid19,kolkata,1,NEUTRAL
’ chat let ’ agree disagree ’ think ’ willing understand honestly ’ time inclination enagae beyond job educate teaches engage,chennai,1,NEUTRAL
104 new covid19 patients tamil nadu 94 chennaicovid19,chennai,1,NEUTRAL
2020 year ’ decade coronavirus earthquake lockdown locust chinaindiafaceoff amphansupercyclone workfromhomelife economiccrisiscoronavirus earthquake lockdown locust chinaindiafaceoff amphansupercyclone workfromhomelife economiccrisis,mumbai,1,NEUTRAL
30 years gone atrocities happened bjp governor j k center bjp supporting govt ’ anything came power 1998 bjp form govt mufti called main culprit 200 days kashmir still lockdown,delhi,0,NEGATIVE
9 hours im bringing corona,delhi,0,NEUTRAL
address chief guest dr shashi panja hon ’ ble minister state independent charge dept women child development social welfare govt west bengal icc social impact awards amp summit icc icceventsicc iccevents,kolkata,0,NEUTRAL
backwardness superstition herd mentality thy name india stupids kill others nonsense covid19covid19,bangalore,1,NEGATIVE
bajajfinserv3 took laptop loan bajaj electronics laptop faulty got doa done product sealed hp hpindia returned product store lockdown product received replacement paying emis every month help,hyderabad,1,NEUTRAL
big rwas societies mini 10 bed hospital supervision doctor rwa society home quarentined mild symptom covid19 patients cured dying want govt ambulances medical treatmentcovid19,bangalore,2,NEUTRAL
chinamustexplain china stats covid19pandemic today basic inference google stats china allow virus spread within china allowed spread worldchinamustexplain china covid19pandemic,delhi,1,NEUTRAL
covid 19 declared covid 19 pandemic social responsible travel company also started preventing avoid virus sanjay colony community stopped operations a… https www instagram com p b9udaainhin igshid dd8lvwp5dp3p,delhi,0,NEUTRAL
covid 19 migrant workers india shri varadrajb ji address webinar subject impacts covid 19 migration workers amp economy join us webinar registration link https tinyurl com hrdicovidwebinar migrants migrantlabourers migrantworkersmigrants migrantlabourers migrantworkers,delhi,1,NEUTRAL
covid19 china viruscovid19,hyderabad,1,NEUTRAL
covidcrisis jobloss money dear daunted challenges india several resources generate 15k 20k month wfh required smart phone amp basic english communicationcovidcrisis jobloss money,mumbai,2,NEUTRAL
cpm leaders kerala r vociferous criticizing usa സാമ്രാജ്വത മുതലാളിത്ത etc fms daughter usa cm party secretary goes usa treatment b4 criticising chk pm never told destroy foreign goods hv present vocal 4 local,bangalore,1,NEGATIVE
cpmumbaipolice mumbaipolice mtptraffic one social influencer name amir sidiqui posted pic insta siting bmw car car number plate number nawab written plese take necessary action acepble,delhi,1,NEUTRAL
dear pm sir poor man residing barasat kolkata west bengal need help relief fund due operation treatment house repair etc thanks support,kolkata,1,NEUTRAL
dear sonusood sabyaactor bhai chennai security guard migrant workers want go home odisha help happy thank folded hands folded hands heart suit selector heart suit selector,chennai,1,NEUTRAL
depression another virus depression sushantsinghrajput ripssr suicideawareness youarenotalonedepression sushantsinghrajput ripssr suicideawareness youarenotalone,kolkata,1,NEGATIVE
despite early blantantly unplanned lockdown india todays stand 30k cases 1000 deaths organizing huge crowd clapping corona carrier trump without social distancing responsible narendramodi asadowaisi,hyderabad,1,NEGATIVE
divert people actual suffering going due economy corona virus unemployment etc etc,hyderabad,2,NEGATIVE
dont follow guidelines affected even god cant save people always think duty government pm country blame china chinese virus entire world affected nasty expansionist china try grab land,kolkata,1,NEGATIVE
